~id,~label,oa_link,citation_count,source_title,year,title,topic
10.1007/s12652-020-02175-9,article,,0,Journal Of Ambient Intelligence And Humanized Computing,2020,Vowel Priority Lip Matching Scheme And Similarity Evaluation Model Based On Humanoid Robot Ren-Xin,Economics
10.3390/su11174633,article,https://www.mdpi.com/2071-1050/11/17/4633/pdf,4,Sustainability,2019,Building University-Industry Co-Innovation Networks In Transnational Innovation Ecosystems: Towards A Transdisciplinary Approach Of Integrating Social Sciences And Artificial Intelligence,Humanities
10.3390/su11195343,article,https://www.mdpi.com/2071-1050/11/19/5343/pdf,2,Sustainability,2019,Entrepreneurship Education And Sustainable Development Goals: A Literature Review And A Closer Look At Fragile States And Technology-Enabled Approaches,Health Science
10.1177/0340035219898708,article,,0,Ifla Journal,2020,Public Libraries And The Un 2030 Agenda For Sustainable Development,Economics
10.1089/sus.2019.0024,article,,0,Sustainability,2019,Mapping And Scoping Of The World Concepts To The Sustainable Development Goals: The First Review,Humanities
10.1080/10580530.2020.1738600,article,,0,Information Systems Management,2020,The Contribution Of Ict Adoption By Local Governments To Sustainability—Empirical Evidence From Poland,Health Science
10.3390/su11226307,article,https://www.mdpi.com/2071-1050/11/22/6307/pdf,3,Sustainability,2019,Is Sustainable Economic Development Possible Thanks To The Deployment Of Ict?,Economics
10.3390/su11246958,article,https://www.mdpi.com/2071-1050/11/24/6958/pdf,0,Sustainability,2019,Twitter Analysis Of Global Communication In The Field Of Sustainability,Humanities
10.1007/978-3-030-41368-2_1,article,,0,Eai/Springer Innovations In Communication And Computing - Convergence Of Ict And Smart Devices For Emerging Applications,2020,"Convergence Of Open Data, Digital Libraries, And Smart Technologies For Accelerating Progress Toward Sustainable Development Goals",Health Science
10.3390/su12093890,article,https://www.mdpi.com/2071-1050/12/9/3890/pdf,0,Sustainability,2020,Introducing A Multiscalar Framework For Biocluster Research: A Meta-Analysis,Economics
10.1007/978-981-15-1216-2_1,article,,0,Algorithms For Intelligent Systems - Deep Learning-Based Approaches For Sentiment Analysis,2020,Application Of Deep Learning Approaches For Sentiment Analysis,Humanities
10.3390/su11247133,article,https://www.mdpi.com/2071-1050/11/24/7133/pdf,1,Sustainability,2019,Developing Joint R&D Institutes Between Chinese Universities And International Enterprises In China’S Innovation System: A Case At Tsinghua University,Health Science
10.3390/su12083274,article,https://www.mdpi.com/2071-1050/12/8/3274/pdf,0,Sustainability,2020,Analysis Of The Impact Of The Triple Helix On Sustainable Innovation Targets In Spanish Technology Companies,Economics
10.3390/su12104161,article,https://www.mdpi.com/2071-1050/12/10/4161/pdf,1,Sustainability,2020,How To Retain Global Talent? Economic And Social Integration Of Chinese Students In Finland,Humanities
10.3390/su12114376,article,https://www.mdpi.com/2071-1050/12/11/4376/pdf,0,Sustainability,2020,Higher Education In Innovation Ecosystems,Economics
10.3390/su12010440,article,https://www.mdpi.com/2071-1050/12/1/440/pdf,1,Sustainability,2020,Systematic Review Of Sustainable-Development-Goal Deployment In Business Schools,Humanities
10.3390/su12072791,article,https://www.mdpi.com/2071-1050/12/7/2791/pdf,0,Sustainability,2020,Do Immigrant Entrepreneurs Have Natural Cognitive Advantages For International Entrepreneurial Activity?,Health Science
10.3390/su11236732,article,https://www.mdpi.com/2071-1050/11/23/6732/pdf,0,Sustainability,2019,Effect Of The Disclosure Of Corporate Social Responsibility On Business Profitability. A Dimensional Analysis In The Spanish Stock Market,Economics
10.3390/su12083288,article,https://www.mdpi.com/2071-1050/12/8/3288/pdf,0,Sustainability,2020,Information And Communications Technologies (Icts) In Education For Sustainable Development: A Bibliographic Review,Humanities
10.3390/su12083347,article,https://www.mdpi.com/2071-1050/12/8/3347/pdf,0,Sustainability,2020,The Impact Of The Gender Digital Divide On Sustainable Development: Comparative Analysis Between The European Union And The Maghreb,Health Science
10.3390/su12051983,article,https://www.mdpi.com/2071-1050/12/5/1983/pdf,0,Sustainability,2020,Engineers Changing The World: Education For Sustainability In Romanian Technical Universities—An Empirical Web-Based Content Analysis,Economics
