~id,~label,oa_link,citation_count,source_title,year,author,title
10.1596/978-1-4648-1333-7_ch3,article,,0,A Resurgent East Asia: Navigating A Changing World,2019,"Mason, Andrew D.; Shetty, Sudhir",Fostering Inclusive Growth
10.29067/muvu.519936,article,https://dergipark.org.tr/tr/download/article-file/803723,0,Muhasebe Ve Vergi Uygulamaları Dergisi,2019,"Ela, Mehmet",Teknoloji̇k İşsi̇zli̇k Problemi̇ne Mali̇ Çözüm: Robot Vergi̇si̇ Ve Türki̇ye’Deki̇ Potansi̇yeli̇
10.1093/cjres/rsz019,article,,1,"Cambridge Journal Of Regions, Economy And Society",2019,"Leigh, Nancey Green, 0000-0002-5344-9536; Kraft, Benjamin, 0000-0002-8889-3055; Lee, Heonyeong, 0000-0003-0286-098X","Robots, Skill Demand And Manufacturing In Us Regional Labour Markets"
10.1093/cjres/rsaa004,article,https://academic.oup.com/cjres/article-pdf/13/1/3/33213532/rsaa004.pdf,1,"Cambridge Journal Of Regions, Economy And Society",2020,"Clifton, Judith, 0000-0001-6081-6800; Glasmeier, Amy; Gray, Mia",When Machines Think For Us: The Consequences For Work And Place
10.1093/cjres/rsz022,article,,3,"Cambridge Journal Of Regions, Economy And Society",2019,"Acemoglu, Daron; Restrepo, Pascual",The Wrong Kind Of Ai? Artificial Intelligence And The Future Of Labour Demand
10.1007/978-981-15-1652-8_7,article,,0,Understanding The Creative Economy And The Future Of Employment,2020,"Fernandez-Pol, Jorge Eduardo; Harvie, Charles",Looking To The Distant Future
10.3846/jcem.2020.12317,article,https://journals.vgtu.lt/index.php/JCEM/article/download/12317/9867,0,Journal Of Civil Engineering And Management,2020,"Derbe, Gebrehana, 0000-0002-8972-0105; Li, Yashuai, 0000-0002-6220-1786; Wu, Di, 0000-0002-3849-1672; Zhao, Qiuhong, 0000-0003-3449-8954","Scientometric Review Of Construction Project Schedule Studies: Trends, Gaps And Potential Research Areas"
10.1093/cjres/rsaa004,article,https://academic.oup.com/cjres/article-pdf/13/1/3/33213532/rsaa004.pdf,1,"Cambridge Journal Of Regions, Economy And Society",2020,"Clifton, Judith, 0000-0001-6081-6800; Glasmeier, Amy; Gray, Mia",When Machines Think For Us: The Consequences For Work And Place
10.1093/cjres/rsz023,article,https://academic.oup.com/cjres/article-pdf/13/1/175/33213536/rsz023.pdf,1,"Cambridge Journal Of Regions, Economy And Society",2020,"Buarque, Bernardo S; Davies, Ronald B; Hynes, Ryan M; Kogler, Dieter F",Ok Computer: The Creation And Integration Of Ai In Europe
10.1093/cjres/rsaa004,article,https://academic.oup.com/cjres/article-pdf/13/1/3/33213532/rsaa004.pdf,1,"Cambridge Journal Of Regions, Economy And Society",2020,"Clifton, Judith, 0000-0001-6081-6800; Glasmeier, Amy; Gray, Mia",When Machines Think For Us: The Consequences For Work And Place
10.1257/aer.20181164,article,https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.20181164,12,American Economic Review,2019,"Fetzer, Thiemo",Did Austerity Cause Brexit?
10.1007/s11127-019-00745-w,article,,0,Public Choice,2019,"Brückner, Markus; Grüner, Hans Peter",Economic Growth And Political Extremism
10.1111/ecaf.12387,article,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ecaf.12387,0,Economic Affairs,2020,"Murphy, Ryan H",Does Democracy Die In Recessions? A Descriptive Analysis Of Aggregate Demand Shortfalls And Regime Transition
10.1111/jcms.13029,article,,0,Jcms: Journal Of Common Market Studies,2020,"Rosamond, Ben, 0000-0003-1487-7703","European Integration And The Politics Of Economic Ideas: Economics, Economists And Market Contestation In The Brexit Debate"
10.36687/inetwp106,article,https://www.ineteconomics.org/uploads/papers/WP_106-Tahoun-et-al-Brexit-Jan-2020-n.pdf,1,Institute For New Economic Thinking Working Paper Series,2019,"Hassan, Tarek A.; Van Lent, Laurence, 0000-0002-9354-0932; Hollander, Stephan, 0000-0002-8076-3117; Tahoun, Ahmed",The Global Impact Of Brexit Uncertainty
10.1057/978-1-349-95121-5_3079-1,article,,1,The New Palgrave Dictionary Of Economics,2019,"Campos, Nauro F.",The Economics Of Brexit
10.1017/s1537592719005000,article,,0,Perspectives On Politics,2020,"Goldstone, Jack A., 0000-0003-1524-6081; Diamond, Larry",Demography And The Future Of Democracy
10.1080/1369183x.2020.1770063,article,,0,Journal Of Ethnic And Migration Studies,2020,"Stockemer, Daniel; Halikiopoulou, Daphne; Vlandas, Tim",‘Birds Of A Feather’? Assessing The Prevalence Of Anti-Immigration Attitudes Among The Far Right Electorate
10.1007/s11558-020-09389-8,article,https://link.springer.com/content/pdf/10.1007/s11558-020-09389-8.pdf,3,The Review Of International Organizations,2020,"Dür, Andreas; Moser, Christoph; Spilker, Gabriele",The Political Economy Of The European Union
10.1007/s40888-020-00191-8,article,https://www.econstor.eu/bitstream/10419/208373/1/GLO-DP-0430.pdf,0,Economia Politica,2020,"Levi, Eugenio; Patriarca, Fabrizio, 0000-0002-3840-492X",An Exploratory Study Of Populism: The Municipality-Level Predictors Of Electoral Outcomes In Italy
10.1080/21681376.2020.1782255,article,https://www.tandfonline.com/doi/pdf/10.1080/21681376.2020.1782255?needAccess=true,0,"Regional Studies, Regional Science",2020,"Hearne, David, 0000-0001-7478-3544",A Spatial Analysis Of The Brexit Vote In The West Midlands
10.1093/isq/sqaa057,article,,0,International Studies Quarterly,2020,"Haftel, Yoram Z, 0000-0002-8142-9647; Wajner, Daniel F, 0000-0002-9038-0478; Eran, Dan, 0000-0002-8244-5331",The Short And Long(Er) Of It: The Effect Of Hard Times On Regional Institutionalization
10.1007/s00038-020-01450-y,article,https://link.springer.com/content/pdf/10.1007/s00038-020-01450-y.pdf,0,International Journal Of Public Health,2020,"Gugushvili, Alexi; Koltai, Jonathan; Stuckler, David; Mckee, Martin","Votes, Populism, And Pandemics"
10.4018/978-1-7998-1196-1.ch005,article,,0,"Handbook Of Research On Creating Sustainable Value In The Global Economy - Advances In Finance, Accounting, And Economics",2020,"Yildiz Çankaya, Sibel; Sezen, Bülent",Industry 4.0 And Sustainability
10.1093/icc/dtz059,article,https://www.iris.sssup.it/bitstream/11382/532914/1/2019-31.pdf,0,Industrial And Corporate Change,2019,"Santoleri, Pietro, 0000-0003-2916-6672",Innovation And Job Creation In (High-Growth) New Firms
10.1007/978-3-319-57365-6_10-1,article,https://www.econstor.eu/bitstream/10419/207346/1/dp12520.pdf,0,"Handbook Of Labor, Human Resources And Population Economics",2019,"Josten, Cecily; Lordan, Grace",Robots At Work: Automatable And Non-Automatable Jobs
10.1007/978-3-319-57365-6_11-1,article,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57365-6_11-1.pdf,2,"Handbook Of Labor, Human Resources And Population Economics",2019,"Arntz, Melanie; Gregory, Terry; Zierahn, Ulrich",Digitization And The Future Of Work: Macroeconomic Consequences
10.1111/ilrs.12144,article,,0,Revista Internacional Del Trabajo,2019,"Rani, Uma; Grimshaw, Damian","Introducción. Trabajo, Empleo Y Sociedad: ¿Qué Esperar Del Futuro?"
10.1371/journal.pone.0232032,article,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0232032&type=printable,0,Plos One,2020,"Vasilescu, Maria Denisa; Serban, Andreea Claudia; Dimian, Gina Cristina; Aceleanu, Mirela Ionela, 0000-0002-7884-8445; Picatoste, Xose","Digital Divide, Skills And Perceptions On Digitalisation In The European Union—Towards A Smart Labour Market"
10.1007/978-3-319-57365-6_12-1,article,,0,"Handbook Of Labor, Human Resources And Population Economics",2020,"Van Roy, Vincent; Vertesy, Daniel; Damioli, Giacomo",Ai And Robotics Innovation
10.1007/978-3-319-57365-6_12-2,article,,0,"Handbook Of Labor, Human Resources And Population Economics",2020,"Van Roy, Vincent; Vertesy, Daniel; Damioli, Giacomo",Ai And Robotics Innovation
10.1007/978-3-319-57365-6_4-1,article,,0,"Handbook Of Labor, Human Resources And Population Economics",2020,"Dachs, Bernhard; Hud, Martin; Peters, Bettina","Innovation, Employment, And The Business Cycle"
10.1007/978-3-030-34255-5_21,article,,0,Lecture Notes In Computer Science - Ambient Intelligence,2019,"Reforgiato Recupero, Diego, 0000-0001-8646-6183; Dessì, Danilo, 0000-0003-3843-3285; Concas, Emanuele, 0000-0002-9461-1501",A Flexible And Scalable Architecture For Human-Robot Interaction
10.1596/978-1-4648-1457-0_ch6,article,,0,World Development Report 2020: Trading For Development In The Age Of Global Value Chains,2019,,Technological Change
10.1007/s00502-019-00742-3,article,https://link.springer.com/content/pdf/10.1007/s00502-019-00742-3.pdf,0,E & I Elektrotechnik Und Informationstechnik,2019,"Gnambs, Timo, 0000-0002-6984-1276",Attitudes Towards Emergent Autonomous Robots In Austria And Germany
10.1155/2020/4280156,article,https://doi.org/10.1155/2020/4280156,5,Journal Of Engineering,2020,"Bongomin, Ocident, 0000-0002-0430-2722; Gilibrays Ocen, Gilbert; Oyondi Nganyi, Eric; Musinguzi, Alex; Omara, Timothy, 0000-0002-0175-1055",Exponential Disruptive Technologies And The Required Skills Of Industry 4.0
10.7717/peerj-matsci.5,article,https://peerj.com/articles/matsci-5.pdf,1,Peerj Materials Science,2020,"Mbeche, Silas Mogaka; Omara, Timothy",Effects Of Alkali Treatment On The Mechanical And Thermal Properties Of Sisal/Cattail Polyester Commingled Composites
10.1155/2020/6290480,article,https://doi.org/10.1155/2020/6290480,0,Advances In Materials Science And Engineering,2020,"Mbeche, Silas M., 0000-0001-7519-3204; Wambua, Paul M.; Githinji, David N., 0000-0002-6009-2248",Mechanical Properties Of Sisal/Cattail Hybrid-Reinforced Polyester Composites
10.1002/eng2.12157,article,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eng2.12157,0,Engineering Reports,2020,"Bongomin, Ocident, 0000-0002-0430-2722; Mwasiagi, Josphat I.; Nganyi, Eric O.; Nibikora, Ildephonse",Improvement Of Garment Assembly Line Efficiency Using Line Balancing Technique
10.1155/2020/8545281,article,https://doi.org/10.1155/2020/8545281,0,Journal Of Engineering,2020,"Bongomin, Ocident, 0000-0002-0430-2722; Nganyi, Eric Oyondi; Abswaidi, Mfanga Ramadhani; Hitiyise, Emmanuel; Tumusiime, Godias",Sustainable And Dynamic Competitiveness Towards Technological Leadership Of Industry 4.0: Implications For East African Community
10.1155/2020/4538602,article,https://doi.org/10.1155/2020/4538602,0,Evidence-Based Complementary And Alternative Medicine,2020,"Omara, Timothy, 0000-0002-0175-1055",Antimalarial Plants Used Across Kenyan Communities
10.1080/09654313.2019.1694647,article,https://www.tandfonline.com/doi/pdf/10.1080/09654313.2019.1694647?needAccess=true,1,European Planning Studies,2019,"Cséfalvay, Zoltán",Robotization In Central And Eastern Europe: Catching Up Or Dependence?
10.1007/s10961-020-09819-0,article,https://link.springer.com/content/pdf/10.1007/s10961-020-09819-0.pdf,0,The Journal Of Technology Transfer,2020,"Jungmittag, Andre, 0000-0002-1725-2824",Robotisation Of The Manufacturing Industries In The Eu: Convergence Or Divergence?
