~id,~from,~to,~label,strength
74,10.4018/978-1-7998-2874-7.ch005,10.4018/978-1-5225-8575-6.ch007,citation,1
90,10.1080/02522667.2019.1616911,10.1080/09720510.2018.1471263,citation,1
96,10.3390/su12083293,10.3390/su12010320,citation,1
114,10.1007/s10462-020-09845-2,10.1007/s00500-019-04402-8,citation,1
115,10.1007/s00500-020-04922-8,10.1007/s00500-019-04402-8,citation,1
116,10.1007/s00500-020-04939-z,10.1007/s00500-019-04402-8,citation,1
118,10.1007/s12652-020-02175-9,10.1142/s0219622019300052,citation,1
180,10.3390/su11174633,10.3390/su11071961,citation,1
181,10.3390/su11195343,10.3390/su11071961,citation,1
182,10.1177/0340035219898708,10.3390/su11071961,citation,1
183,10.1089/sus.2019.0024,10.3390/su11071961,citation,1
184,10.1080/10580530.2020.1738600,10.3390/su11071961,citation,1
185,10.3390/su11226307,10.3390/su11071961,citation,1
186,10.3390/su11246958,10.3390/su11071961,citation,1
187,10.1007/978-3-030-41368-2_1,10.3390/su11071961,citation,1
188,10.3390/su12093890,10.3390/su11071961,citation,1
200,10.1007/978-981-15-1216-2_1,10.1080/02522667.2019.1616911,citation,1
212,10.3390/su11247133,10.3390/su11174633,citation,1
213,10.3390/su12083274,10.3390/su11174633,citation,1
214,10.3390/su12104161,10.3390/su11174633,citation,1
215,10.3390/su12114376,10.3390/su11174633,citation,1
217,10.3390/su12010440,10.3390/su11195343,citation,1
218,10.3390/su12072791,10.3390/su11195343,citation,1
226,10.3390/su11236732,10.3390/su11226307,citation,1
227,10.3390/su12083288,10.3390/su11226307,citation,1
228,10.3390/su12083347,10.3390/su11226307,citation,1
238,10.3390/su12114376,10.3390/su11247133,citation,1
242,10.3390/su12114376,10.3390/su12104161,citation,1
246,10.3390/su12051983,10.3390/su12010440,citation,1
